Accession	Title	Type	Organism	Assays	Release Date	Processed Data	Raw Data	Present in Atlas	ArrayExpress URL
E-MTAB-6843	Single cell RNA-sequencing of T cells to examine barcode swapping	RNA-seq of coding RNA from single cells	Mus musculus	960	2018-06-21	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6843/E-MTAB-6843.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6843/
E-MTAB-6818	Single-cell RNA-seq of de-differentiated mammary adipocytes during lactation	RNA-seq of coding RNA from single cells	Mus musculus	79	2018-06-17	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6818/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6818/
E-MTAB-6505	Monocyte-derived IL-1 and IL-6 are differentially required for cytokine release syndrome and neurotoxicity by CAR-T cells	RNA-seq of coding RNA from single cells	Homo sapiens	4	2018-05-24	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6505/
E-MTAB-5727	Single-cell RNA-seq of murine medullary thymic epithelial cells (mTECs)	RNA-seq of coding RNA from single cells	Mus musculus	164	2018-05-08	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-5727/E-MTAB-5727.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5727/
E-MTAB-5802	scRNA-seq of mouse adipose stem and progenitor cells	RNA-seq of coding RNA from single cells	Mus musculus	288	2018-05-01	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-5802/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5802/
E-MTAB-6058	Single cell RNA-seq of isolated human foetal L/M-opsin cone photoreceptor populations labelled using the AAV2/9.pR2.1.GFP reporter	RNA-seq of coding RNA from single cells	Homo sapiens	295	2018-04-20	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6058/
E-MTAB-6583	Single-cell RNA-seq analysis of cutaneous wound healing in mouse	RNA-seq of coding RNA from single cells	Mus musculus	2534	2018-04-01	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6583/E-MTAB-6583.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6583/
E-MTAB-5466	Single-cell RNA-seq of  motor neuron progenitors differentiated from mouse embryonic stem cell line HM1 by treatment with RA and SAG	RNA-seq of coding RNA from single cells	Mus musculus	202	2018-02-01	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5466/
E-MTAB-6379	Single-cell RNAseq of Human T lymphocyte derived from H7N9 infected patients	RNA-seq of coding RNA from single cells	Homo sapiens	476	2018-01-30	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6379/
E-MTAB-6153	Single-cell RNAseq of whole B6 mouse E8.25 embryos	RNA-seq of coding RNA from single cells	Mus musculus	456	2017-12-01	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6153/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6153/
E-MTAB-5728	Single-cell RNAseq of whole mouse E8.25 embryos	RNA-seq of coding RNA from single cells	Mus musculus	6	2017-12-01	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-5728/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5728/
E-MTAB-6173	Single cell RNA-Seq of the murine non-myocyte cardiac cellulome	RNA-seq of coding RNA from single cells	Mus musculus	2	2017-11-21	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6173/E-MTAB-6173.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6173/
E-MTAB-5530	Single-cell RNA-Seq data of zebrafish blood cells	RNA-seq of coding RNA from single cells	Danio rerio	2015	2017-11-17	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5530/
E-MTAB-6142	Transcriptomic characterization of the human cell cycle in individual unsynchronized cells	RNA-seq of coding RNA from single cells	Homo sapiens	96	2017-11-09	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6142/E-MTAB-6142.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6142/
E-MTAB-6108	Single cell RNA sequencing of stem cell-derived retinal ganglion cells	RNA-seq of coding RNA from single cells	Homo sapiens	2	2017-10-07	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6108/E-MTAB-6108.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6108/
E-MTAB-5953	Single-cell RNA-sequencing of Platynereis dumerilii	RNA-seq of coding RNA from single cells	Platynereis dumerilii	383	2017-09-18	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5953/
E-MTAB-5661	Deciphering the relationship between polycomb repression and stochastic gene expression from single-cell RNA-seq data	RNA-seq of coding RNA from single cells	Mus musculus	288	2017-06-01	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5661/
E-MTAB-5522	Assessing the reliability of spike-in normalization for analyses of single-cell RNA sequencing data	RNA-seq of coding RNA from single cells	Mus musculus	384	2017-05-31	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-5522/E-MTAB-5522.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5522/
E-MTAB-4547	The Global Molecular Landscape of dormant Hematopoietic Stem Cells	RNA-seq of coding RNA from single cells	Mus musculus	384	2017-05-18	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4547/E-MTAB-4547.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4547/
E-MTAB-5485	Single cell RNA-sequencing of Spike-ins and mESC using Smart-Seq2  on C1 System	RNA-seq of coding RNA from single cells	Mus musculus	96	2017-03-29	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5485/
E-MTAB-5484	Single cell RNA-sequencing of Spike-ins and mESC using Smart-Seq2 on C1 system (Replicate run)	RNA-seq of coding RNA from single cells	Mus musculus	61	2017-03-29	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5484/
E-MTAB-5483	Single cell RNA-sequencing of Spike-ins and mESC using SMARTer on C1 System	RNA-seq of coding RNA from single cells	Mus musculus	96	2017-03-28	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5483/
E-MTAB-5208	Retinoic acid mediated neural and mesoderm specification during vertebrate trunk development	RNA-seq of coding RNA from single cells	Mus musculus	539	2017-03-22	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5208/
E-MTAB-4388	Single-cell RNA-sequencing resolves a CD4+ T cell fate bifurcation	RNA-seq of coding RNA from single cells	Mus musculus	1598	2017-03-21	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4388/
E-MTAB-5482	Single cell RNA-sequencing of Spike-ins and mESC using STRT-Seq  on C1 System	RNA-seq of coding RNA from single cells	Mus musculus	1	2017-03-15	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5482/
E-MTAB-5481	Single cell RNA-sequencing of Spike-ins and mESC using Smart-Seq2 on 96-well plates	RNA-seq of coding RNA from single cells	Mus musculus	56	2017-03-14	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5481/
E-MTAB-5480	Single cell RNA-sequencing of Spike-ins and Control RNA using 10x Genomics Chromium system	RNA-seq of coding RNA from single cells	Homo sapiens	2	2017-03-08	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5480/
E-ERAD-611	Malaria Cell Atlas: Single cell transcriptomics of malaria parasites	RNA-seq of coding RNA from single cells	Plasmodium berghei ANKA, Plasmodium falciparum 3D7	713	2017-02-08	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-ERAD-611/
E-MTAB-4850	Transcriptomic profiling of antigen-specific T cells at the single-cell level after clearance of hepatitis C virus	RNA-seq of coding RNA from single cells	Homo sapiens	72	2017-01-31	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4850/
E-MTAB-4825	Intrinsic transcriptional heterogeneity in B cells controls early class switching to IgE	RNA-seq of coding RNA from single cells	Mus musculus	213	2016-12-08	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4825/
E-MTAB-4617	Single-cell RNA sequencing of spleen-derived LCK-expressing cells from adult zebrafish	RNA-seq of coding RNA from single cells	Danio rerio	864	2016-11-01	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4617/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4617/
E-MTAB-5058	Single-cell RNA sequencing of mouse embryonic stem cells expressing 2-cell stage markers MERVL and Zscan4	RNA-seq of coding RNA from single cells	Mus musculus	384	2016-09-30	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5058/
E-MTAB-5061	Single-cell RNA-seq analysis of human pancreas from healthy individuals and type 2 diabetes patients	RNA-seq of coding RNA from single cells	Homo sapiens	3514	2016-09-22	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-5061/E-MTAB-5061.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5061/
E-MTAB-4888	RNA-seq of coding RNA from single cells to assess the impact of aging on cell-to-cell transcriptional variability during immune stimulation	RNA-seq of coding RNA from single cells	Mus musculus	4032	2016-07-21	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4888/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4888/
E-MTAB-4079	RNA-seq of coding RNA from single cells derived from mouse embryos	RNA-seq of coding RNA from single cells	Mus Musculus	1205	2016-07-08	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4079/
E-MTAB-4026	*Gastrulation* Single-cell RNA sequencing of mouse embryos with Tal1 (Scl) knockout - Bertie Göttgens (Gastrulation_RNA_Seq-sc-3711)	RNA-seq of coding RNA from single cells	Mus musculus	768	2016-07-08	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4026/
E-MTAB-4745	BASIC: B-cell receptor (BCR) assembly from single cell RNA-seq	RNA-seq of coding RNA from single cells	Homo sapiens	6	2016-06-02	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4745/
E-MTAB-4619	Single-cell RNA-seq of mouse CD4+ T-helper 2 cells from mediastinal lymph nodes, mesenteric lymph nodes and lungs 5 days after infection with Nippostrongylus brasiliensis	RNA-seq of coding RNA from single cells	Mus musculus	287	2016-04-13	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4619/
E-MTAB-3929	Single-cell RNA-seq reveal lineage formation and X-chromosome dosage compensation in human preimplantation embryos	RNA-seq of coding RNA from single cells	Homo sapiens	1529	2016-04-06	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-3929/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-3929/
E-MTAB-3321	Single-cell RNA-seq of blastomeres from 2- to 32-cell stage mouse embryos	RNA-seq of coding RNA from single cells	Mus musculus	124	2016-03-23	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-3321/E-MTAB-3321.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-3321/
E-MTAB-3857	Single-cell RNA-seq of CD4+ T lymphocytes from mice infected with Salmonella typhimurium for 14 or 49 days, or uninfected control	RNA-seq of coding RNA from single cells	Mus musculus	272	2016-03-06	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-3857/
E-MTAB-3707	Gene expression profiling of mouse liver cells	RNA-seq of coding RNA from single cells	Mus musculus	96	2016-02-08	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-3707/E-MTAB-3707.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-3707/
E-GEOD-70580	Single cell RNA-sequencing of human tonsil Innate lymphoid cells (ILCs)	RNA-seq of coding RNA from single cells	Homo sapiens	648	2016-01-27	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-70580/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-70580/
E-MTAB-4092	Morphological, electrophysiological and transcriptomic profiling of single neurons using Patch-seq	RNA-seq of coding RNA from single cells	Mus musculus	58	2016-01-25	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4092/
E-MTAB-3947	Analysis of single CD41 cell transcriptomes from Zebrafish	RNA-seq of coding RNA from single cells	Danio rerio	672	2016-01-08	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-3947/
E-MTAB-2983	Functional germ line stem cells do not exist in adult mammalian ovaries	RNA-seq of coding RNA from single cells	Homo sapiens	38	2015-10-01	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2983/
E-MTAB-3624	Single-cell transcriptome sequencing from mouse mTECs (additional data)	RNA-seq of coding RNA from single cells	Homo sapiens, Mus musculus	36	2015-08-03	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-3624/E-MTAB-3624.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-3624/
E-MTAB-3346	Single-cell transcriptome sequencing from mouse mTECs	RNA-seq of coding RNA from single cells	Homo sapiens, Mus musculus	345	2015-08-02	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-3346/E-MTAB-3346.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-3346/
E-ERAD-357	RNAseq of mouse POMC neurons	RNA-seq of coding RNA from single cells	Mus musculus	192	2015-04-28	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-ERAD-357/
E-MTAB-2805	Gene expression pattern of single mES cells during cell cycle stages	RNA-seq of coding RNA from single cells	Mus musculus	288	2014-12-29	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-2805/E-MTAB-2805.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2805/
E-MTAB-2865	Single-cell RNA-sequencing of Platynereis dumerilii larval brain cells	RNA-seq of coding RNA from single cells	Platynereis dumerilii	213	2014-12-13	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2865/
E-MTAB-2512	Th single cell RNA-Seq	RNA-seq of coding RNA from single cells	Mus musculus	96	2014-04-25	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2512/
E-GEOD-51254	Single-cell RNA sequencing of cancer cell line HTC116	RNA-seq of coding RNA from single cells	Homo sapiens	113	2013-10-20	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-51254/E-GEOD-51254.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-51254/
E-GEOD-20187	Tracing the derivation of embryonic stem cells from the inner cell mass by single cell RNA-seq analysis	RNA-seq of coding RNA from single cells	Mus musculus	34	2013-06-11	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-20187/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-20187/
E-MTAB-609	Transcriptome analysis of MCF-7 breast cancer cell population to reveal the transcriptional diversity at the single cell level	RNA-seq of coding RNA from single cells, RNA-seq of coding RNA	Homo sapiens	4	2012-03-14	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-609/
